id,tipo,unidad,incluye,excluye,marca,preferencia,gramaje_ref,g_por_unidad_base,motivo
2,envasado,kg,galleta.*soda|soda.*galleta,rellen|integral|chocolat,,,,1000,
3,envasado,kg,^galletas? .*(vainilla|dulce|coco|animalit|fresa|limon|kion),soda|salad|integral|rellen|wafer|chocolat|avena|arroz|agua|crack|mantequilla|cream|maiz,,,,1000,
4,excluido,un,,,,,,,se vende por unidad o por bolsa de unidades y la CBA lo da en gramos; falta fijar gramos por pan (decision pendiente)
5,envasado,kg,^arroz (extra|superior|corriente)\b,integral|parbolizad|arborio|jazmin|basmati|premium|graneadit|con |preparad|leche,,,5,1000,
6,envasado,kg,^avena\b,bebida|con |instantanea|leche|galleta|barra|granola,,,,1000,
8,envasado,kg,\bcancha\b|maiz.*chulpe,canchita salada|popcorn|pop corn|microondas|snack,,,,1000,
13,envasado,kg,^semola\b,,,,,1000,
16,envasado,kg,^fideos? .*tallarin|^tallarin,arroz|instantane|chino|ramen|integral,,,,1000,
17,envasado,kg,^fideos?\b,tallarin|arroz|instantane|chino|ramen|integral|huevo|sopa,,,,1000,
21,granel,kg,^pollo entero\b,light|rostiz|sabor|organic|trozad|artisan|sin piel|libre de,,,,1000,
22,granel,kg,menudencia.*pollo|^menudencia,entero,,,,1000,
23,granel,kg,^mondongo,,,,,1000,
25,envasado,kg,hot ?dog,pan |salsa|bollo,,,,1000,
26,granel,kg,^jurel\b,conserva|lata|filete de jurel en,,,,1000,
27,envasado,kg,\bgrated\b,,,,,1000,
30,envasado,kg,^leche evaporada\b,light|sin lactosa|deslactosad|botella|niños|ninos|chocolat|fresa,,gloria,0.4,1000,
32,envasado,kg,^queso fresco\b,light|sin lactosa|rallado|laminado|tajad,,,,1000,
33,envasado,l,^yogurt?\b,griego|con cereal|pack|light|sin lactosa|probiotic|kids|batido,,,1,1000,
34,granel,kg,^huevos?\b,codorniz|pasta|fideo|chocolat|pascua|sorpresa,,,,1000,
