id,descripcion,grupo,cadena,item_id,ean,product_name,net_quantity,unidad,cantidad,paquetes,regla,identidad,nivel,presentacion_base,a_granel,marcas,r_max,n_cadenas,ventana_inicio,ventana_fin,estado
2,GALLETA DE SODA,pan_y_cereales,metro,39232052,7622201714819,Sixpack Galletas de Soda Field 32g,0.192,kg,0.069,0.359375,ean,ean,nucleo,True,False,,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,metro,39274667,,Pack x2 Galletas de Soda Field Paquete 192g,0.384,kg,0.069,0.179688,ean,ean,nucleo,False,False,alternativa,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,metro,39274665,,Pack x3 Galletas de Soda Field Paquete 192g,0.576,kg,0.069,0.119792,ean,ean,nucleo,False,False,alternativa,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,plaza_vea,10652532,7622201714819,Galletas Saladas FIELD Soda Paquete 6un,0.192,kg,0.069,0.359375,ean,ean,nucleo,True,False,,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,tottus,115267772,7622201714819,Galleta Soda Field Empaque 6 Und,0.192,kg,0.069,0.359375,ean,ean,nucleo,True,False,,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,vivanda,10336104,7622201714819,Galletas Soda FIELD Bolsa 6un,0.192,kg,0.069,0.359375,ean,ean,nucleo,True,False,,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,wong,39210808,7622201714819,Sixpack Galletas de Soda Field 32g,0.192,kg,0.069,0.359375,ean,ean,nucleo,True,False,,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,wong,39285762,,Pack x2 Galletas de Soda Field Paquete 192g,0.384,kg,0.069,0.179688,ean,ean,nucleo,False,False,alternativa,1.2108,5,2026-09-19,2026-09-22,provisional
2,GALLETA DE SODA,pan_y_cereales,wong,39285760,,Pack x3 Galletas de Soda Field Paquete 192g,0.576,kg,0.069,0.119792,ean,ean,nucleo,False,False,alternativa,1.2108,5,2026-09-19,2026-09-22,provisional
3,GALLETA DULCE,pan_y_cereales,metro,3404,7750243077460,Sixpack Galleta Tentación Vainilla 43g,0.258,kg,0.087,0.337209,ean,ean,nucleo,True,False,gramaje_discrepante,1.2108,5,2026-09-19,2026-09-22,provisional
3,GALLETA DULCE,pan_y_cereales,plaza_vea,11214087,7750243077460,Galleta TENTACION Sabor Vainilla Empaque 43g Paquete 6un,0.258,kg,0.087,0.337209,ean,ean,nucleo,True,False,gramaje_discrepante,1.2108,5,2026-09-19,2026-09-22,provisional
3,GALLETA DULCE,pan_y_cereales,tottus,126272884,7750243077460,Galleta Tentación Vainilla Sixpack 258 g,0.258,kg,0.087,0.337209,ean,ean,nucleo,True,False,gramaje_discrepante,1.2108,5,2026-09-19,2026-09-22,provisional
3,GALLETA DULCE,pan_y_cereales,vivanda,10776445,7750243077460,Galleta VICTORIA Tentación Sabor de Vainilla Bolsa 43g Paquete 6un,0.258,kg,0.087,0.337209,ean,ean,nucleo,True,False,gramaje_discrepante,1.2108,5,2026-09-19,2026-09-22,provisional
3,GALLETA DULCE,pan_y_cereales,wong,3404,7750243077460,Sixpack Galleta Tentación Vainilla 43g,0.258,kg,0.087,0.337209,ean,ean,nucleo,True,False,gramaje_discrepante,1.2108,5,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,metro,23361,7755139002809,Arroz Extra Paisana Bolsa 5 kg,5.0,kg,4.422,0.8844,ean,ean,nucleo,True,False,,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,metro,23363,7755139002793,Arroz Extra Paisana Bolsa 1 kg,1.0,kg,4.422,4.422,ean,ean,nucleo,False,False,alternativa,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,plaza_vea,24925,7755139002809,Arroz Extra PAISANA Bolsa 5Kg,5.0,kg,4.422,0.8844,ean,ean,nucleo,True,False,,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,plaza_vea,24921,,Arroz Extra PAISANA Bolsa 1Kg,1.0,kg,4.422,4.422,ean,ean,nucleo,False,False,alternativa,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,tottus,113705625,7755139002809,Arroz Extra Paisana Bolsa 5 Kg,5.0,kg,4.422,0.8844,ean,ean,nucleo,True,False,,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,tottus,113706245,7755139002793,Arroz Extra Paisana Bolsa 1 Kg,1.0,kg,4.422,4.422,ean,ean,nucleo,False,False,alternativa,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,wong,23361,7755139002809,Arroz Extra Paisana Bolsa 5 kg,5.0,kg,4.422,0.8844,ean,ean,nucleo,True,False,,1.5903,4,2026-09-19,2026-09-22,provisional
5,ARROZ CORRIENTE,pan_y_cereales,wong,23363,7755139002793,Arroz Extra Paisana Bolsa 1 kg,1.0,kg,4.422,4.422,ean,ean,nucleo,False,False,alternativa,1.5903,4,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,metro,39192363,7755477001212,Avena Integral en Hojuelas Grano de Oro 500g,0.5,kg,0.345,0.69,ean,ean,nucleo,True,False,,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,plaza_vea,10536700,7755477001212,Avena Integral GRANO DE ORO Bolsa 500g,0.5,kg,0.345,0.69,ean,ean,nucleo,True,False,,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,tottus,129925776,7755477001212,Avena Integral Grano De Oro Bolsa 500 g,0.5,kg,0.345,0.69,ean,ean,nucleo,True,False,,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,tottus,113712889,7755477001113,Avena Integral Grano de Oro Pote 900 g,0.9,kg,0.345,0.383333,ean,ean,nucleo,False,False,alternativa,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,tottus,148217878,7755477001267,Avena Integral Grano de Oro Bolsa 1 Kg,1.0,kg,0.345,0.345,ean,ean,nucleo,False,False,alternativa,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,vivanda,10333267,7755477001212,Avena Integral GRANO DE ORO Bolsa 500g,0.5,kg,0.345,0.69,ean,ean,nucleo,True,False,,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,wong,39206133,7755477001212,Avena Integral en Hojuelas Grano de Oro 500g,0.5,kg,0.345,0.69,ean,ean,nucleo,True,False,,1.269,5,2026-09-19,2026-09-22,provisional
6,AVENA,pan_y_cereales,wong,39186405,7755477001113,Avena Integral en Hojuelas Grano de Oro 900g,0.9,kg,0.345,0.383333,ean,ean,nucleo,False,False,alternativa,1.269,5,2026-09-19,2026-09-22,provisional
8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,metro,39167294,7752992001543,Cancha Chulpi Villa Natura 150g,0.15,kg,0.207,1.38,ean,ean,ampliado_1,True,False,,1.2108,4,2026-09-19,2026-09-22,provisional
8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,plaza_vea,43810,,Cancha Chulpi VILLA NATURA Bolsa 150g,0.15,kg,0.207,1.38,ean_equivalente,ean_equivalente,ampliado_1,True,False,sin_ean_fabricante,1.2108,4,2026-09-19,2026-09-22,provisional
8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,vivanda,30861,,Cancha Chulpi VILLA NATURA Bolsa 150g,0.15,kg,0.207,1.38,ean_equivalente,ean_equivalente,ampliado_1,True,False,sin_ean_fabricante,1.2108,4,2026-09-19,2026-09-22,provisional
8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,wong,39344569,7751087005022,Cancha Chulpi Vallealto 140g,0.14,kg,0.207,1.478571,por_kilo,por_kilo,ampliado_1,True,False,marca_distinta;tamano_distinto,1.2108,4,2026-09-19,2026-09-22,provisional
