id,beta,lineas,fuente,r_max
2,-0.2681,4,panel,1.2108
3,-0.2681,11,panel,1.2108
4,-0.2681,0,panel,1.2108
5,-0.1106,56,item,1.5903
6,-0.2153,34,item,1.269
8,-0.2681,1,panel,1.2108
13,-0.2681,0,panel,1.2108
16,-0.2681,13,panel,1.2108
17,-0.3095,46,item,1.1802
25,-0.3198,38,item,1.1739
27,-0.2681,1,panel,1.2108
30,-0.2681,3,panel,1.2108
32,-0.2681,2,panel,1.2108
33,-0.2681,4,panel,1.2108
34,-0.2681,0,panel,1.2108
35,-0.2681,11,panel,1.2108
36,-0.2751,24,item,1.205
38,-0.2681,0,panel,1.2108
47,-0.2681,0,panel,1.2108
57,-0.2681,6,panel,1.2108
72,-0.2681,0,panel,1.2108
73,-0.2681,0,panel,1.2108
75,-0.2681,3,panel,1.2108
84,-0.1905,31,item,1.3089
85,-0.2681,7,panel,1.2108
87,-0.3117,76,item,1.1789
89,-0.2681,18,panel,1.2108
91,-0.2681,8,panel,1.2108
93,-0.2681,7,panel,1.2108
94,-0.2681,8,panel,1.2108
95,-0.2681,2,panel,1.2108
99,-0.2681,4,panel,1.2108
100,-0.2681,1,panel,1.2108
101,-0.2865,106,item,1.196
