id,descripcion,grupo,motivo,n_cadenas,cadenas
2,GALLETA DE SODA,pan_y_cereales,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7750885019583, esta en 2)",0,
4,PAN FRANCÉS,pan_y_cereales,se vende por unidad o por bolsa de unidades y la CBA lo da en gramos; falta fijar gramos por pan (decision pendiente),0,
8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7750427001861, esta en 2)",0,
13,SÉMOLA,pan_y_cereales,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7750020759435, esta en 2)",0,
22,MENUDENCIA DE POLLO,carnes,sin representante por kg en 4 de 5 cadenas (hay en 1),0,
23,MONDONGO DE RES,carnes,sin representante por kg en 4 de 5 cadenas (hay en 3),0,
26,JUREL,pescados,sin representante por kg en 4 de 5 cadenas (hay en 3),0,
27,GRATED DE SARDINA / ATUN,pescados,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7751158000000, esta en 2)",0,
30,LECHE EVAPORADA,lacteos,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 8716200680936, esta en 3)",0,
34,HUEVOS A GRANEL DE GALLINA,huevos,sin representante por kg en 4 de 5 cadenas (hay en 1),0,
38,AJÍ SECO ENTERO MIRASOL PANCA Y AMARILLO,hortalizas,sin candidato con EAN de fabricante,0,
41,APIO,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 0),0,
42,ARVERJA VERDE CRIOLLA,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 0),0,
47,CHOCLO,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 0),0,
51,LECHUGA,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 0),0,
53,PEPINILLO,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 2),0,
57,VERDURA PICADA,hortalizas,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7757440000291, esta en 1)",0,
68,PLÁTANO DE LA ISLA,frutas,sin representante por kg en 4 de 5 cadenas (hay en 2),0,
72,ARVEJA SECA PARTIDA,menestras,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7751130801595, esta en 3)",0,
77,OLLUCO,tuberculos,sin representante por kg en 4 de 5 cadenas (hay en 3),0,
86,TÉ FILTRANTE,infusiones,se vende por caja de filtrantes y la CBA lo da en gramos; falta fijar gramos por filtrante (decision pendiente),0,
91,"AJÍ MOLIDO PANCA ESPECIAL, ROCOTO, AMARILLO",condimentos,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7750333000064, esta en 3)",0,
92,AJO ENTERO,condimentos,sin representante por kg en 4 de 5 cadenas (hay en 3),0,
95,CANELA ENTERA,condimentos,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7753121002752, esta en 3)",0,
99,SAL DE COCINA YODADA / ENTERA,condimentos,"sin producto identico (mismo EAN) en 4 de 5 cadenas (el mejor EAN, 7803600000400, esta en 3)",0,
102,CULANTRO,hortalizas,sin representante por kg en 4 de 5 cadenas (hay en 0),0,
104,DESAYUNO AMBULANTE,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
106,ALMUERZO AMBULANTE,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
107,ALMUERZO RESTAURANTE,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
108,ALMUERZO OTRO,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
109,ALIMENTO FUERA DEL HOGAR: OTRO - AMBULANTE,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
110,ALIMENTO FUERA DEL HOGAR: OTRO - RESTAURANTE,fuera_del_hogar,consumo fuera del hogar: no es una compra de supermercado,0,
