fecha_csv,fecha_auditoria,mismo_dia,semilla,retailer,item_id,product_name,categoria_comun,on_sale,url_abierta,estado,price,regular_price,card_price,seller_name,precio_pantalla,precios_visibles,precio_tarjeta_pantalla,precio_ldjson,vendedor_pantalla,vendedor_ldjson,concuerda_price,magnitud_discrepancia,regular_visible,card_visible,precio_menor_visible,vendedor_es_cadena,segundos,nota
2026-09-20,2026-09-21,False,20260921,metro,1701,Avena Instantánea Quaker 350g,desayuno,False,https://www.metro.pe/avena-instant-nea-quaker-350g-425642/p,ok,9.4,9.4,8.46,CENCOSUD RETAIL PERU S.A.,9.4,8.46;9.40,8.46,9.4,,CENCOSUD RETAIL PERU S.A.,True,,,True,8.46,True,7.5,
2026-09-20,2026-09-21,False,20260921,metro,25145,Tripack Filete Atún en Aceite Real 80g,abarrotes,False,https://www.metro.pe/tripack-filete-atun-en-aceite-real-80g-700639/p,ok,12.9,12.9,11.61,CENCOSUD RETAIL PERU S.A.,12.9,11.61;12.90,11.61,12.9,,CENCOSUD RETAIL PERU S.A.,True,,,True,11.61,True,7.9,
2026-09-20,2026-09-21,False,20260921,metro,39237170,Chips Quinoa Natural QFoods 100g,abarrotes,True,https://www.metro.pe/chips-quinoa-natural-qfoods-x100g/p,ok,6.9,8.2,6.21,CENCOSUD RETAIL PERU S.A.,6.9,6.21;6.90;8.20,6.21,6.9,,CENCOSUD RETAIL PERU S.A.,True,,True,True,6.21,True,8.3,
2026-09-20,2026-09-21,False,20260921,plaza_vea,11683608,Vino Tinto VIÑA COBOS Blend Crianza Botella 750ml,licores,True,https://www.plazavea.com.pe/vino-tinto-vina-cobos-blend-crianza-botella-750ml/p,ok,144.9,149.9,,Plaza Vea,144.9,149.90;144.90,,,Plaza Vea,,True,,True,,,True,6.8,
2026-09-20,2026-09-21,False,20260921,plaza_vea,12292270,Tostadas Integrales BELL'S Bolsa 10un,panaderia,False,https://www.plazavea.com.pe/tostadas-integrales-bells-bolsa-10un-20539981/p,ok,5.6,5.6,,Plaza Vea,5.6,5.60,,,Plaza Vea,,True,,,,,True,6.6,
2026-09-20,2026-09-21,False,20260921,plaza_vea,218,Fideos Tortiglioni #46 AGNESI Paquete 500g,abarrotes,False,https://www.plazavea.com.pe/fideos-tortiglioni-46-agnesi-paquete-500g/p,ok,12.5,12.5,,Plaza Vea,12.5,12.50,,,Plaza Vea,,True,,,,,True,6.6,
2026-09-20,2026-09-21,False,20260921,tottus,115814963,Vino Francesco Rutini Malbec Rose Tottus Botella 750 mL,snacks_dulces,False,https://www.tottus.com.pe/tottus-pe/articulo/115814962/vino-francesco-rutini-malbec-rose-tottus-750-ml,ok,29.9,29.9,,Tottus,29.9,29.90,,29.9,,Tottus,True,,,,,True,7.7,
2026-09-20,2026-09-21,False,20260921,tottus,116231127,AZUCAR RUBIA DULFINA X500GR,desayuno,False,https://www.tottus.com.pe/tottus-pe/articulo/116231126/AZUCAR%20RUBIA%20DULFINA%20X500GR,ok,2.0,2.0,,Tottus,,,,2.0,,Tottus,,,,,,,7.0,
2026-09-20,2026-09-21,False,20260921,tottus,136315107,Yogurt Laive Probiótico Mora Botella 180 g,lacteos,False,https://www.tottus.com.pe/tottus-pe/articulo/136315106/yogurt-laive-probiotico-mora-botella-180-g,ok,1.99,1.99,,Tottus,1.99,1.99;10.90,,1.99,,Tottus,True,,,,,True,7.0,
2026-09-20,2026-09-21,False,20260921,vivanda,11824525,Ron DIPLOMÁTICO Single Vintage Botella 700ml,licores,False,https://www.vivanda.com.pe/ron-diplomatico-single-vintage-botella-700ml/p,ok,599.9,599.9,,Vivanda,599.9,599.90,,,,,True,,,,,,6.8,
2026-09-20,2026-09-21,False,20260921,vivanda,1472,Aderezo PIKI para Pavo Doypack 350g,abarrotes,False,https://www.vivanda.com.pe/aderezo-piki-para-pavo-paquete-350gr/p,ok,12.9,12.9,,Vivanda,12.9,12.90,,,,,True,,,,,,7.1,
2026-09-20,2026-09-21,False,20260921,vivanda,36253,Torta Tres Leches de Chocolate Mediana LA FLORENCIA 1un,panaderia,False,https://www.vivanda.com.pe/torta-tres-leches-de-chocolate-mediana/p,ok,59.9,59.9,,Vivanda,59.9,59.90,,,,,True,,,,,,7.2,
2026-09-20,2026-09-21,False,20260921,wong,2726,Spaghettini Nro 2 Agnesi Bolsa 500 g,abarrotes,False,https://www.wong.pe/spaghettini-nro-2-agnesi-bolsa-500-g/p,ok,16.0,16.0,,WongIO,16.0,16.00,,16.0,,WongIO,True,,,,,True,6.6,
2026-09-20,2026-09-21,False,20260921,wong,39244716,Licor 43 Original Botella 700ml,licores,False,https://www.wong.pe/licor-43-original-botella-700ml-27931/p,ok,116.9,116.9,,WongIO,116.9,116.90,,116.9,,WongIO,True,,,,,True,6.5,
2026-09-20,2026-09-21,False,20260921,wong,4761,Vino Blanco Matetic Corralillo Sauvignon Blanc Botella 750ml,licores,True,https://www.wong.pe/vino-blanco-matetic-corralillo-sauvignon-blanc-botella-750ml-515988/p,ok,54.9,59.9,,WongIO,53.91,53.91;54.90;59.90,,54.9,,WongIO,True,,True,,53.91,True,6.7,precio menor sin etiqueta de tarjeta; tarjeta en pantalla (53.91) sin card_price en el CSV
