regla,retailer,fecha,n_items,soles,indice,items_base
arrastre,metro,2026-09-19,701,13247.62,100.0,701
arrastre,metro,2026-09-20,701,13247.62,100.0,701
imputacion,metro,2026-09-19,701,13247.62,100.0,701
imputacion,metro,2026-09-20,701,13247.62,100.0,701
exclusion,metro,2026-09-19,701,13247.62,100.0,701
exclusion,metro,2026-09-20,701,13247.62,100.0,701
arrastre,plaza_vea,2026-09-19,701,12443.21,100.0,701
arrastre,plaza_vea,2026-09-20,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-19,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-20,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-19,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-20,701,12443.21,100.0,701
arrastre,tottus,2026-09-19,701,12951.05,100.0,701
arrastre,tottus,2026-09-20,701,12947.25,99.97065874967667,701
imputacion,tottus,2026-09-19,701,12951.05,100.0,701
imputacion,tottus,2026-09-20,701,12947.25,99.97065874967667,701
exclusion,tottus,2026-09-19,701,12951.05,100.0,701
exclusion,tottus,2026-09-20,694,12699.050000000001,99.97008545326442,701
arrastre,vivanda,2026-09-19,701,13503.5,100.0,701
arrastre,vivanda,2026-09-20,701,13503.5,100.0,701
imputacion,vivanda,2026-09-19,701,13503.5,100.0,701
imputacion,vivanda,2026-09-20,701,13503.5,100.0,701
exclusion,vivanda,2026-09-19,701,13503.5,100.0,701
exclusion,vivanda,2026-09-20,701,13503.5,100.0,701
arrastre,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
arrastre,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
exclusion,wong,2026-09-19,701,13153.720000000001,100.0,701
exclusion,wong,2026-09-20,700,13143.82,100.0,701
