bloque,subconjunto,metrica,valor
brecha,n_cadenas>=2,ean_dias,36153.0
brecha,n_cadenas>=2,ean_unicos,9163.0
brecha,n_cadenas>=2,masa_cero,0.2527591071280392
brecha,n_cadenas>=2,sd_log_media,0.061287981182633594
brecha,n_cadenas>=2,sd_log_mediana,0.03214675299851455
brecha,n_cadenas>=2,p10,0.0
brecha,n_cadenas>=2,p25,0.0
brecha,n_cadenas>=2,p50,0.05561735261401557
brecha,n_cadenas>=2,p75,0.15965166908563133
brecha,n_cadenas>=2,p90,0.296103896103896
brecha,n_cadenas>=3,ean_dias,18824.0
brecha,n_cadenas>=3,ean_unicos,4782.0
brecha,n_cadenas>=3,masa_cero,0.11554398640033998
brecha,n_cadenas>=3,sd_log_media,0.0705095973140779
brecha,n_cadenas>=3,sd_log_mediana,0.04916588356887471
brecha,n_cadenas>=3,p10,0.0
brecha,n_cadenas>=3,p25,0.03460207612456756
brecha,n_cadenas>=3,p50,0.101123595505618
brecha,n_cadenas>=3,p75,0.2098765432098766
brecha,n_cadenas>=3,p90,0.3448275862068966
brecha,n_cadenas=5,ean_dias,3633.0
brecha,n_cadenas=5,ean_unicos,921.0
brecha,n_cadenas=5,masa_cero,0.05890448665015139
brecha,n_cadenas=5,sd_log_media,0.07306238886873832
brecha,n_cadenas=5,sd_log_mediana,0.057708331096167624
brecha,n_cadenas=5,p10,0.021052631578947212
brecha,n_cadenas=5,p25,0.06000000000000005
brecha,n_cadenas=5,p50,0.13355592654424053
brecha,n_cadenas=5,p75,0.25316455696202533
brecha,n_cadenas=5,p90,0.4085227272727277
varianza,orden B,r2_incremental[dia],1.7702417101444258e-06
varianza,orden B,r2_acumulado[dia],1.7702417101084222e-06
varianza,orden B,r2_incremental[categoria],0.39627405698759366
varianza,orden B,r2_acumulado[categoria],0.39627582722930377
varianza,orden B,r2_incremental[grupo],0.00042618168797062196
varianza,orden B,r2_acumulado[grupo],0.39670200891727436
varianza,orden B,r2_incremental[cadena],0.0024548074458090804
varianza,orden B,r2_acumulado[cadena],0.39915681636308353
varianza,orden B,r2_incremental[cadena x categoria],0.006151685812205573
varianza,orden B,r2_acumulado[cadena x categoria],0.405308502175289
varianza,orden B,r2_incremental[producto],0.5826111527884726
varianza,orden B,r2_acumulado[producto],0.9879196549637617
varianza,orden A,r2_incremental[dia],1.7702417101084222e-06
varianza,orden A,r2_acumulado[dia],1.7702417101084222e-06
varianza,orden A,r2_incremental[producto],0.9873211379477329
varianza,orden A,r2_acumulado[producto],0.987322908189443
varianza,orden A,r2_incremental[categoria],0.0
varianza,orden A,r2_acumulado[categoria],0.987322908189443
varianza,orden A,r2_incremental[grupo],6.792816323640449e-05
varianza,orden A,r2_acumulado[grupo],0.9873908363526794
varianza,orden A,r2_incremental[cadena],0.00036960902092604856
varianza,orden A,r2_acumulado[cadena],0.9877604453736055
varianza,orden A,r2_incremental[cadena x categoria],0.00015920959015621993
varianza,orden A,r2_acumulado[cadena x categoria],0.9879196549637617
panel,,n_dias,4.0
panel,,incluir_internos,0.0
panel,,solo_disponibles,0.0
