par,relacion,ean_dias,ean_unicos,identico,brecha_mediana,a_mas_barato,b_mas_barato
metro+wong,mismo grupo,25405,4328,0.6638850619956701,0.0,0.23861444597520173,0.09750049202912812
plaza_vea+tottus,competidores,18494,3188,0.46766518870985185,0.009368966122520583,0.37022818211311775,0.1621066291770304
wong+vivanda,competidores,11928,2002,0.4631120053655265,0.01775147928994092,0.30600268276324616,0.23088531187122738
metro+vivanda,competidores,11221,1876,0.344176098386953,0.03642987249544616,0.40753943498796896,0.24828446662507797
metro+plaza_vea,competidores,13749,2320,0.2781293184958906,0.051724137931034475,0.16059349770892428,0.5612771837951851
plaza_vea+vivanda,mismo grupo,23826,3976,0.25446990682447745,0.02586206896551735,0.6827835138084446,0.06274657936707798
wong+plaza_vea,competidores,14041,2372,0.2489851150202977,0.059479553903345694,0.14820881703582367,0.6028060679438786
metro+tottus,competidores,19931,3442,0.18744669108424064,0.0625,0.2954693693241684,0.5170839395915909
wong+tottus,competidores,20533,3580,0.15224273121316906,0.0714285714285714,0.28144937417815225,0.5663078946086787
vivanda+tottus,competidores,14851,2552,0.14423271160191234,0.05555555555555558,0.1995825196956434,0.6561847687024442
