orden,nivel,r2_acumulado,r2_incremental,share_within,n_obs,var_total_log_p
B,dia,6.520594918790756e-06,6.520594918764015e-06,,182146,1.0029903491412728
B,categoria,0.3961771819386861,0.3961706613437673,,182146,1.0029903491412728
B,grupo,0.3966053290047379,0.00042814706605184594,,182146,1.0029903491412728
B,cadena,0.3990839552933393,0.0024786262886013193,,182146,1.0029903491412728
B,cadena x categoria,0.40537715496118054,0.0062931996678413146,,182146,1.0029903491412728
B,producto,0.987850427247502,0.5824732722863215,,182146,1.0029903491412728
A,dia,6.520594918790756e-06,6.520594918790756e-06,,182146,1.0029903491412728
A,producto,0.9870820276415795,0.9870755070466607,,182146,1.0029903491412728
A,categoria,0.9870820276415795,0.0,,182146,1.0029903491412728
A,grupo,0.9871564208995508,7.439325797127163e-05,0.005758895893810978,182146,1.0029903491412728
A,cadena,0.9875457854638536,0.0003893645643028102,0.03014130650689966,182146,1.0029903491412728
A,cadena x categoria,0.987850427247502,0.00030464178364848993,0.02358278646183282,182146,1.0029903491412728
