retailer,item_id,inicio,fin,dias,tipo,censurada,categoria_comun
metro,11480,2026-09-19,2026-09-19,1,agotado_listado,False,panaderia
metro,12160,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,33384,2026-09-19,2026-09-19,1,agotado_listado,False,carnes
metro,35462,2026-09-19,2026-09-19,1,agotado_listado,False,panaderia
metro,39142128,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39150651,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39150652,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39150891,2026-09-19,2026-09-20,2,agotado_listado,True,frutas_verduras
metro,39166378,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,carnes
metro,39176907,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39180144,2026-09-19,2026-09-20,2,agotado_listado,True,carnes
metro,39180145,2026-09-19,2026-09-20,2,agotado_listado,True,carnes
metro,39185395,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,39185398,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,39186953,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,preparados
metro,39187709,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,congelados
metro,39199819,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,frutas_verduras
metro,39202477,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39202478,2026-09-19,2026-09-19,1,agotado_listado,False,panaderia
metro,39202479,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,39233882,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,39254633,2026-09-19,2026-09-20,2,agotado_listado,True,panaderia
metro,39254637,2026-09-19,2026-09-19,1,agotado_listado,False,panaderia
metro,39255194,2026-09-19,2026-09-19,1,agotado_listado,False,panaderia
metro,39255452,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39256795,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,preparados
metro,39256977,2026-09-20,2026-09-20,1,desaparecido_sin_arbol,True,panaderia
metro,39258725,2026-09-20,2026-09-20,1,agotado_listado,True,carnes
