retailer,categoria_comun,tipo,huecos
metro,abarrotes,agotado_listado,119
metro,abarrotes,desaparecido_catalogo,177
metro,abarrotes,desaparecido_sin_arbol,1
metro,bebidas,agotado_listado,24
metro,bebidas,desaparecido_catalogo,6
metro,carnes,agotado_listado,35
metro,carnes,desaparecido_catalogo,73
metro,carnes,desaparecido_sin_arbol,4
metro,congelados,desaparecido_catalogo,11
metro,congelados,desaparecido_sin_arbol,1
metro,desayuno,agotado_listado,31
metro,desayuno,desaparecido_catalogo,23
metro,desayuno,desaparecido_sin_arbol,1
metro,frutas_verduras,agotado_listado,14
metro,frutas_verduras,desaparecido_catalogo,73
metro,frutas_verduras,desaparecido_sin_arbol,2
metro,lacteos,agotado_listado,38
metro,lacteos,desaparecido_catalogo,17
metro,licores,agotado_listado,42
metro,licores,desaparecido_catalogo,16
metro,panaderia,agotado_listado,12
metro,panaderia,desaparecido_catalogo,128
metro,panaderia,desaparecido_sin_arbol,17
metro,preparados,desaparecido_catalogo,36
metro,preparados,desaparecido_sin_arbol,3
metro,quesos_fiambres,agotado_listado,12
metro,quesos_fiambres,desaparecido_catalogo,23
plaza_vea,abarrotes,agotado_listado,4842
plaza_vea,abarrotes,desaparecido_catalogo,5
plaza_vea,bebidas,agotado_listado,1164
plaza_vea,bebidas,desaparecido_catalogo,2
plaza_vea,carnes,agotado_listado,871
plaza_vea,congelados,agotado_listado,342
plaza_vea,desayuno,agotado_listado,1088
plaza_vea,desayuno,desaparecido_catalogo,13
plaza_vea,frutas_verduras,agotado_listado,1131
plaza_vea,frutas_verduras,desaparecido_catalogo,4
plaza_vea,lacteos,agotado_listado,663
plaza_vea,lacteos,desaparecido_catalogo,25
plaza_vea,licores,agotado_listado,2190
plaza_vea,packs,agotado_listado,211
plaza_vea,packs,desaparecido_catalogo,72
plaza_vea,panaderia,agotado_listado,1769
plaza_vea,panaderia,desaparecido_catalogo,6
plaza_vea,preparados,agotado_listado,760
plaza_vea,quesos_fiambres,agotado_listado,1764
plaza_vea,saludable,agotado_listado,1473
tottus,abarrotes,desaparecido_catalogo,87
tottus,abarrotes,desaparecido_sin_arbol,13
tottus,bebidas,desaparecido_catalogo,209
tottus,bebidas,desaparecido_sin_arbol,31
tottus,carnes,desaparecido_catalogo,1
tottus,carnes,desaparecido_sin_arbol,5
tottus,congelados,desaparecido_catalogo,20
tottus,congelados,desaparecido_sin_arbol,6
tottus,desayuno,desaparecido_catalogo,508
tottus,desayuno,desaparecido_sin_arbol,25
tottus,frutas_verduras,desaparecido_catalogo,15
tottus,frutas_verduras,desaparecido_sin_arbol,11
tottus,lacteos,desaparecido_catalogo,92
tottus,lacteos,desaparecido_sin_arbol,26
tottus,licores,desaparecido_arbol,1
tottus,licores,desaparecido_catalogo,65
tottus,licores,desaparecido_sin_arbol,16
tottus,panaderia,desaparecido_catalogo,31
tottus,panaderia,desaparecido_sin_arbol,6
tottus,preparados,desaparecido_catalogo,1
tottus,preparados,desaparecido_sin_arbol,2
tottus,snacks_dulces,desaparecido_catalogo,1015
tottus,snacks_dulces,desaparecido_sin_arbol,230
vivanda,abarrotes,agotado_listado,5010
vivanda,bebidas,agotado_listado,978
vivanda,carnes,agotado_listado,474
vivanda,congelados,agotado_listado,366
vivanda,desayuno,agotado_listado,693
vivanda,desayuno,desaparecido_catalogo,3
vivanda,frutas_verduras,agotado_listado,708
vivanda,lacteos,agotado_listado,870
vivanda,licores,agotado_listado,2808
vivanda,packs,agotado_listado,218
vivanda,panaderia,agotado_listado,1680
vivanda,preparados,agotado_listado,522
vivanda,quesos_fiambres,agotado_listado,1260
wong,abarrotes,agotado_listado,97
wong,abarrotes,desaparecido_catalogo,172
wong,abarrotes,desaparecido_sin_arbol,1
wong,bebidas,agotado_listado,6
wong,bebidas,desaparecido_catalogo,5
wong,carnes,agotado_listado,15
wong,carnes,desaparecido_catalogo,46
wong,carnes,desaparecido_sin_arbol,2
wong,congelados,agotado_listado,7
wong,congelados,desaparecido_catalogo,20
wong,congelados,desaparecido_sin_arbol,1
wong,desayuno,agotado_listado,29
wong,desayuno,desaparecido_catalogo,12
wong,desayuno,desaparecido_sin_arbol,2
wong,frutas_verduras,agotado_listado,4
wong,frutas_verduras,desaparecido_catalogo,40
wong,lacteos,agotado_listado,53
wong,lacteos,desaparecido_catalogo,34
wong,lacteos,desaparecido_sin_arbol,1
wong,licores,agotado_listado,25
wong,licores,desaparecido_catalogo,38
wong,licores,desaparecido_sin_arbol,2
wong,panaderia,agotado_listado,28
wong,panaderia,desaparecido_catalogo,170
wong,panaderia,desaparecido_sin_arbol,17
wong,preparados,agotado_listado,3
wong,preparados,desaparecido_catalogo,20
wong,preparados,desaparecido_sin_arbol,3
wong,quesos_fiambres,desaparecido_catalogo,16
