escenario,id,descripcion,grupo,cadena,item_id,ean,identidad,nivel,cantidad,unidad,paquetes,precio_pagado,fuente_precio,costo,costo_entero,compra_entera,on_sale,fiable,oferta_real,fantasma,rebaja_silenciosa,accion,motivo_accion
con_tottus,2,GALLETA DE SODA,pan_y_cereales,metro,39232052,7622201714819,ean,nucleo,0.069,kg,0.359375,3.5,observado,1.2578125,7.0,2x0.192,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,3,GALLETA DULCE,pan_y_cereales,metro,3404,7750243077460,ean,nucleo,0.087,kg,0.337209,4.7,observado,1.5848823,9.4,2x0.258,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,5,ARROZ CORRIENTE,pan_y_cereales,plaza_vea,24925,7755139002809,ean,nucleo,4.422,kg,0.8844,19.9,observado,17.599559999999997,74.1,3x5 + 3x1,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,6,AVENA,pan_y_cereales,metro,39192363,7755477001212,ean,nucleo,0.345,kg,0.69,4.7,observado,3.243,14.100000000000001,3x0.5,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,8,MAÍZ BLANCO CORRIENTE CANCHA,pan_y_cereales,plaza_vea,43810,,ean_equivalente,ampliado_1,0.207,kg,1.38,6.9,observado,9.522,41.4,6x0.15,False,False,,,,comprar_hoy,sin_modelo_b
con_tottus,13,SÉMOLA,pan_y_cereales,plaza_vea,3982,,ean_equivalente,nucleo,0.171,kg,0.855,1.3,observado,1.1115,5.2,4x0.2,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,16,FIDEOS TALLARÍN ENVASADO,pan_y_cereales,plaza_vea,12101753,7750885026024,ean,nucleo,0.543,kg,0.571579,4.3,observado,2.4577896999999997,12.899999999999999,3x0.95,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,17,OTROS FIDEOS ENVASADOS,pan_y_cereales,metro,2717,7750885021166,ean,nucleo,0.543,kg,1.206667,2.8,observado,3.3786675999999995,14.0,5x0.45,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,21,POLLO EVISCERADO,carnes,metro,35313,,granel,nucleo,1.626,kg,1.626,6.9,observado,11.2194,44.8776,6.504 a granel,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,23,MONDONGO DE RES,carnes,tottus,118685027,,granel,nucleo,0.207,kg,0.207,14.49,observado,2.99943,11.99772,0.828 a granel,False,False,,,,comprar_hoy,sin_modelo_b
con_tottus,25,HOT DOG,carnes,plaza_vea,10048162,7750571002585,ean,nucleo,0.144,kg,0.576,7.2,observado,4.1472,21.6,3x0.25,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,27,GRATED DE SARDINA / ATUN,pescados,metro,39200165,7807910038160,por_kilo,ampliado_1,0.144,kg,1.028571,2.9,observado,2.9828558999999997,14.5,5x0.14,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,30,LECHE EVAPORADA,lacteos,plaza_vea,11390023,7751271034128,ean,nucleo,1.269,kg,0.542308,22.9,observado,12.4188532,68.69999999999999,3x2.34,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,32,QUESO FRESCO VACA,lacteos,plaza_vea,10125946,7751271029841,ean,nucleo,0.123,kg,0.123,36.2,observado,4.4526,17.8104,0.492 a granel,True,False,,,,comprar_hoy,sin_modelo_b
con_tottus,33,YOGURT,lacteos,plaza_vea,10020788,7750289000163,ean,nucleo,0.459,l,0.485201,9.2,observado,4.463849199999999,18.4,2x0.946,True,False,,,,comprar_hoy,sin_modelo_b
