retailer,tipo,n_transiciones,sku_seguidos,tasa_cambio,tasa_sube,tasa_baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,n_cambios,mediana_abs_cambio,share_banda_20,share_cerca_cero,coef_bimodalidad,bimodal
metro,cruza_finde,2,18810,0.041041998936735775,0.028973950026581607,0.012068048910154174,0.007389686337054758,0.015842636895268474,0,,,77,125,772,0.1471524745269287,0.28886010362694303,0.04533678756476684,0.17440870985984783,False
metro,habil,4,37592,0.034528623111300276,0.01556182166418387,0.01896680144711641,0.009097680357522878,0.008113428389018941,0,,,230,182,1298,0.1103448275862069,0.20030816640986132,0.05624036979969183,0.11060709714962247,False
plaza_vea,cruza_finde,2,21896,0.025940811107051515,0.01685239313116551,0.009088417975886007,0.004293021556448667,0.008540372670807454,0,,,36,25,568,0.10463157894736846,0.2834507042253521,0.07922535211267606,0.27802482797870004,False
plaza_vea,habil,4,43777,0.06277268885487813,0.027000479703954132,0.035772209150924,0.022980103707426276,0.018023162848070904,0,,,70,287,2748,0.09445910290237458,0.20633187772925765,0.09570596797671034,0.19177714933109036,False
tottus,cruza_finde,2,23856,0.0164738430583501,0.012449698189134809,0.004024144869215292,0.002221663313212609,0.005491281019450033,0,,,783,799,393,0.11111111111111116,0.1450381679389313,0.08651399491094147,0.17647378294269703,False
tottus,habil,4,47854,0.014815898357504074,0.007397500731391315,0.00741839762611276,0.004304760312617545,0.004179378944288879,0,,,1503,1473,709,0.1071428571428572,0.19322990126939352,0.08321579689703808,0.6528088433835143,True
vivanda,cruza_finde,2,15504,0.0011609907120743034,0.00012899896800825592,0.0010319917440660474,0.0,0.0,0,,,18,0,18,0.0954545454545454,0.2222222222222222,0.16666666666666666,0.467378832110993,False
vivanda,habil,4,31075,0.00016090104585679806,9.654062751407885e-05,6.436041834271923e-05,0.0,0.0,0,,,0,2,5,0.09090909090909084,0.0,0.0,0.27359086273554023,False
wong,cruza_finde,2,24654,0.02506692625943052,0.01671128417295368,0.00835564208647684,0.005516346231848787,0.009734728644439037,0,,,77,108,618,0.12658227848101267,0.255663430420712,0.040453074433656956,0.3663531854307198,False
wong,habil,4,49408,0.02997490284974093,0.01364151554404145,0.01633338730569948,0.009148316062176165,0.0061123704663212436,0,,,334,272,1481,0.101010101010101,0.21336934503713706,0.09520594193112762,0.20703656998675035,False
metro,total,6,56402,0.03670082621183646,0.020034750540760964,0.016666075671075493,0.0085280663806248,0.010691110244317577,0,,,307,307,2070,0.11788986522405326,0.23333333333333334,0.05217391304347826,0.13857809652513461,False
plaza_vea,total,6,65673,0.050492592085027335,0.023617011557260974,0.026875580527766358,0.01674965358670991,0.014861510818753521,0,,,106,312,3316,0.0980392156862746,0.2195416164053076,0.09288299155609167,0.20438965383958133,False
tottus,total,6,71710,0.015367452238181565,0.009078231766838656,0.006289220471342909,0.003611769627666992,0.004615813694045461,0,,,2286,2272,1102,0.1083619265472105,0.17604355716878403,0.08439201451905626,0.5270257436115833,False
vivanda,total,6,46579,0.0004937847527855901,0.00010734451147512828,0.0003864402413104618,0.0,0.0,0,,,18,2,23,0.09090909090909084,0.17391304347826086,0.13043478260869565,0.49759880811779095,False
wong,total,6,74062,0.028341119602495208,0.014663390132591613,0.013677729469903595,0.007939294104939106,0.007318192865437066,0,,,411,380,2099,0.10649350649350664,0.22582181991424488,0.07908527870414483,0.23672342657303666,False
TOTAL,cruza_finde,10,104720,0.022622230710466006,0.015517570664629488,0.0071046600458365165,0.004029793735676089,0.008174178762414056,0,,,991,1057,2369,0.12578616352201255,0.2545377796538624,0.0599409033347404,0.163494540774596,False
TOTAL,habil,20,209706,0.029760712616711014,0.013342489008421313,0.016418223608289702,0.009565773034629434,0.007610654916883637,0,,,2137,2216,6241,0.10062893081761004,0.2050953372856914,0.08588367248838327,0.23057726427354877,False
TOTAL,total,30,314426,0.027383231666592456,0.01406690286426695,0.013316328802325507,0.007722007722007722,0.007798337287628886,0,,,3128,3273,8610,0.10526315789473695,0.2186991869918699,0.07874564459930314,0.1629658827174196,False
