retailer,horizonte,version,origenes,positivos,tasa_positivos,dias_panel,dias_faltan_para_medir,extrapolado_geometrico
metro,7,decl,0,0,,6,2,0.05810372498872185
metro,7,real,0,0,,6,2,
metro,14,decl,0,0,,6,9,0.1128314071198786
metro,14,real,0,0,,6,9,
metro,30,decl,0,0,,6,25,0.22627856994380036
metro,30,real,0,0,,6,25,
plaza_vea,7,decl,0,0,,6,2,0.12326145620808782
plaza_vea,7,real,0,0,,6,2,
plaza_vea,14,decl,0,0,,6,9,0.23132952582963728
plaza_vea,14,real,0,0,,6,9,
plaza_vea,30,decl,0,0,,6,25,0.43094064107584196
plaza_vea,30,real,0,0,,6,25,
tottus,7,decl,0,0,,6,2,0.029617681660356387
tottus,7,real,0,0,,6,2,
tottus,14,decl,0,0,,6,9,0.05835815625377849
tottus,14,real,0,0,,6,9,
tottus,30,decl,0,0,,6,25,0.12089471542950025
tottus,30,real,0,0,,6,25,
vivanda,7,decl,0,0,,6,2,0.0
vivanda,7,real,0,0,,6,2,
vivanda,14,decl,0,0,,6,9,0.0
vivanda,14,real,0,0,,6,9,
vivanda,30,decl,0,0,,6,25,0.0
vivanda,30,real,0,0,,6,25,
wong,7,decl,0,0,,6,2,0.055579805375925995
wong,7,real,0,0,,6,2,
wong,14,decl,0,0,,6,9,0.10807049598622609
wong,14,real,0,0,,6,9,
wong,30,decl,0,0,,6,25,0.2173539067514243
wong,30,real,0,0,,6,25,
