retailer,tipo,bin_inf,bin_sup,n
metro,cruza_finde,-1.0,-0.5,1
metro,cruza_finde,-0.5,-0.3,5
metro,cruza_finde,-0.3,-0.25,2
metro,cruza_finde,-0.25,-0.15,7
metro,cruza_finde,-0.15,-0.1,2
metro,cruza_finde,-0.1,-0.05,5
metro,cruza_finde,-0.05,-0.02,1
metro,cruza_finde,-0.02,0.0,1
metro,cruza_finde,0.0,0.02,0
metro,cruza_finde,0.02,0.05,2
metro,cruza_finde,0.05,0.1,11
metro,cruza_finde,0.1,0.15,6
metro,cruza_finde,0.15,0.25,11
metro,cruza_finde,0.25,0.3,12
metro,cruza_finde,0.3,0.5,10
metro,cruza_finde,0.5,1.0,6
metro,cruza_finde,1.0,10.0,2
plaza_vea,cruza_finde,-1.0,-0.5,0
plaza_vea,cruza_finde,-0.5,-0.3,0
plaza_vea,cruza_finde,-0.3,-0.25,1
plaza_vea,cruza_finde,-0.25,-0.15,5
plaza_vea,cruza_finde,-0.15,-0.1,4
plaza_vea,cruza_finde,-0.1,-0.05,3
plaza_vea,cruza_finde,-0.05,-0.02,0
plaza_vea,cruza_finde,-0.02,0.0,0
plaza_vea,cruza_finde,0.0,0.02,0
plaza_vea,cruza_finde,0.02,0.05,0
plaza_vea,cruza_finde,0.05,0.1,2
plaza_vea,cruza_finde,0.1,0.15,1
plaza_vea,cruza_finde,0.15,0.25,4
plaza_vea,cruza_finde,0.25,0.3,1
plaza_vea,cruza_finde,0.3,0.5,0
plaza_vea,cruza_finde,0.5,1.0,1
plaza_vea,cruza_finde,1.0,10.0,0
tottus,cruza_finde,-1.0,-0.5,0
tottus,cruza_finde,-0.5,-0.3,0
tottus,cruza_finde,-0.3,-0.25,0
tottus,cruza_finde,-0.25,-0.15,2
tottus,cruza_finde,-0.15,-0.1,0
tottus,cruza_finde,-0.1,-0.05,2
tottus,cruza_finde,-0.05,-0.02,1
tottus,cruza_finde,-0.02,0.0,3
tottus,cruza_finde,0.0,0.02,15
tottus,cruza_finde,0.02,0.05,2
tottus,cruza_finde,0.05,0.1,0
tottus,cruza_finde,0.1,0.15,1
tottus,cruza_finde,0.15,0.25,2
tottus,cruza_finde,0.25,0.3,0
tottus,cruza_finde,0.3,0.5,0
tottus,cruza_finde,0.5,1.0,0
tottus,cruza_finde,1.0,10.0,0
vivanda,cruza_finde,-1.0,-0.5,0
vivanda,cruza_finde,-0.5,-0.3,0
vivanda,cruza_finde,-0.3,-0.25,0
vivanda,cruza_finde,-0.25,-0.15,0
vivanda,cruza_finde,-0.15,-0.1,0
vivanda,cruza_finde,-0.1,-0.05,1
vivanda,cruza_finde,-0.05,-0.02,0
vivanda,cruza_finde,-0.02,0.0,0
vivanda,cruza_finde,0.0,0.02,0
vivanda,cruza_finde,0.02,0.05,0
vivanda,cruza_finde,0.05,0.1,0
vivanda,cruza_finde,0.1,0.15,0
vivanda,cruza_finde,0.15,0.25,1
vivanda,cruza_finde,0.25,0.3,0
vivanda,cruza_finde,0.3,0.5,0
vivanda,cruza_finde,0.5,1.0,0
vivanda,cruza_finde,1.0,10.0,0
wong,cruza_finde,-1.0,-0.5,0
wong,cruza_finde,-0.5,-0.3,2
wong,cruza_finde,-0.3,-0.25,2
wong,cruza_finde,-0.25,-0.15,6
wong,cruza_finde,-0.15,-0.1,10
wong,cruza_finde,-0.1,-0.05,18
wong,cruza_finde,-0.05,-0.02,5
wong,cruza_finde,-0.02,0.0,0
wong,cruza_finde,0.0,0.02,1
wong,cruza_finde,0.02,0.05,1
wong,cruza_finde,0.05,0.1,11
wong,cruza_finde,0.1,0.15,12
wong,cruza_finde,0.15,0.25,17
wong,cruza_finde,0.25,0.3,5
wong,cruza_finde,0.3,0.5,3
wong,cruza_finde,0.5,1.0,1
wong,cruza_finde,1.0,10.0,0
