retailer,d0,d1,dias_entre,tipo,sku_seguidos,sube,baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,mediana_abs_cambio,n_cambios
metro,2026-09-19,2026-09-20,1,cruza_finde,9440,60,24,15,40,0,0,0,24,29,0.24317299993841224,84
metro,2026-09-20,2026-09-21,1,cruza_finde,9370,485,203,124,258,0,0,0,53,96,0.14492753623188404,688
metro,2026-09-21,2026-09-22,1,habil,9371,215,189,103,157,0,0,0,56,54,0.12251151737508077,404
plaza_vea,2026-09-19,2026-09-20,1,cruza_finde,10961,9,13,12,7,0,0,0,1,0,0.17499402342816162,22
plaza_vea,2026-09-20,2026-09-21,1,cruza_finde,10935,360,186,82,180,0,0,0,35,25,0.11154938709976214,546
plaza_vea,2026-09-21,2026-09-22,1,habil,10957,1052,24,10,715,0,0,0,0,12,0.10192837465564741,1076
tottus,2026-09-19,2026-09-20,1,cruza_finde,11944,20,8,2,0,0,0,0,396,371,0.010508686690223867,28
tottus,2026-09-20,2026-09-21,1,cruza_finde,11912,277,88,51,131,0,0,0,387,428,0.11659192825112095,365
tottus,2026-09-21,2026-09-22,1,habil,11946,13,55,52,1,0,0,0,376,353,1.0,68
vivanda,2026-09-19,2026-09-20,1,cruza_finde,7752,1,1,0,0,0,0,0,0,0,0.12320620555914674,2
vivanda,2026-09-20,2026-09-21,1,cruza_finde,7752,1,15,0,0,0,0,0,18,0,0.10555555555555549,16
vivanda,2026-09-21,2026-09-22,1,habil,7769,1,0,0,0,0,0,0,0,1,0.06976744186046502,1
wong,2026-09-19,2026-09-20,1,cruza_finde,12354,51,43,27,42,0,0,0,37,29,0.12194055944055943,94
wong,2026-09-20,2026-09-21,1,cruza_finde,12300,361,163,109,198,0,0,0,40,79,0.12712092647454887,524
wong,2026-09-21,2026-09-22,1,habil,12295,285,270,197,186,0,0,0,83,52,0.11188811188811185,555
